outcome,policy,h,theta_A,P_A,lo,hi,se_theta_A,ci_theta_lo,ci_theta_hi,im_lo,im_hi,lam_star
pce,1,3,0.01099494194954375,0.6691729323308271,-0.8462435939364361,0.5893079358098947,0.06630585059830814,-0.11243229880983834,0.09865999737005354,-1.143559839564344,0.7761608158331235,0.033234710892939064
pce,1,4,0.10517468791343074,0.6691729323308271,-0.8050307905335767,0.6912327888369248,0.07137402991892974,-0.009361628201923156,0.2304584405589224,-1.1236900096655957,0.8845130106733096,0.3179143975565066
pce,1,5,0.19464534303556458,0.6691729323308271,-0.834188448817985,0.8358451156306448,0.09260358105830652,0.062498333472245315,0.37176503552928036,-1.1882385491968905,1.0552401029826306,0.5883597869029566
pce,1,6,0.23609547899365133,0.6691729323308271,-0.8505407740277591,0.8738798409004032,0.11092884516064179,0.07686207602678002,0.43802562918599347,-1.2300550592885837,1.0983858953666967,0.7136522433217188
pce,1,7,0.20825898204924778,0.6691729323308271,-0.8586343148304034,0.8668213481547001,0.121827324793634,0.010602155364666688,0.39851339826632365,-1.2391374961413824,1.1044152990275578,0.6295101048306808
pce,1,8,0.251175336514869,0.6691729323308271,-0.9181893768270732,0.9678608412668537,0.13395248557800152,0.03550158900890438,0.4615051237642998,-1.3362103310598874,1.2245110698596355,0.759234539919945
pce,1,9,0.34414165605796004,0.6691729323308271,-0.903018155029071,1.1467870528086175,0.15361367837790468,0.10613144214224068,0.6012731501026032,-1.3460524966024527,1.4302438161858986,1.0402463694479247
pce,1,10,0.3357962028469721,0.6691729323308271,-0.9498426929825623,1.252601150741642,0.15864521902287973,0.09788310579514248,0.6027976167368181,-1.3991277617804134,1.5721428102526034,1.015020340423802
pce,1,11,0.35492605739222316,0.6691729323308271,-0.8757019128950445,1.2742309649468213,0.15981720024205248,0.10835523055517526,0.6123434890271924,-1.3066217165519665,1.5949289214082807,1.0728446734810382
pce,1,12,0.35950975355263587,0.6691729323308271,-0.9009415032943413,1.2848772667869683,0.17152085008661277,0.08073516073878717,0.6221842414380869,-1.3539499734993954,1.6039747777696238,1.086699936875013
pce,1,13,0.457651466866331,0.6691729323308271,-0.8362666565119606,1.392639382711553,0.19296195225307708,0.15391728780810254,0.7875379223596469,-1.3048245249820247,1.7220144647528755,1.3833555703005007
pce,1,14,0.563262101439653,0.6691729323308271,-0.7807596537008257,1.469092644932272,0.21420957742966856,0.2521253974776846,0.9320589704708142,-1.2695449839827337,1.8018963069726914,1.702587715715315
pce,1,15,0.7650361408420268,0.6691729323308271,-0.59485634571175,1.5888356199304172,0.3044660977900294,0.3488079030748814,1.3227269702274584,-1.1232889728322872,1.9527959763282707,2.3124956075452174
pce,1,16,0.7127330774776649,0.6691729323308271,-0.6197112800949611,1.5622795208830238,0.3107354929560796,0.2761433550125747,1.2928057683169563,-1.1405277847119804,1.9367915141376995,2.154397711466578
pce,1,17,0.6110742239113609,0.6691729323308271,-0.742165374116489,1.499614717974442,0.27307812387253766,0.21013249114416466,1.0956245929377746,-1.2567913618285718,1.8587067652196703,1.847110722277523
pce,1,18,0.6156149980827168,0.6691729323308271,-0.747502748457763,1.4441876309636115,0.27270114647682386,0.2068153145720515,1.1087340630635452,-1.2653982569496218,1.792065347741865,1.8608362442045758
pce,1,19,0.6587491405172881,0.6691729323308271,-0.7611547212668217,1.4291861227631522,0.31266887912929103,0.18831823237171852,1.2152969786566103,-1.315222801393505,1.7911978737706218,1.9912189929272572
pce,1,20,0.6544246599909849,0.6691729323308271,-0.8058820522908212,1.4770566898339115,0.29874558726286754,0.20611390725531598,1.1909462178057373,-1.3670640357365356,1.8391273117493518,1.9781472677000225
pce,1,21,0.5680792401084013,0.6691729323308271,-0.923475475096723,1.4402290512180267,0.32215030124250377,0.07403414409093978,1.1446070410698783,-1.506568997396611,1.8293498999590263,1.7171486121458495
