outcome,policy,h,theta_A,P_A,lo,hi,se_theta_A,ci_theta_lo,ci_theta_hi,im_lo,im_hi,lam_star
unrate,-1,15,0.8572144155578041,0.593984962406015,-0.18650729185195186,2.427778422433762,0.30295690388997226,0.5605989063612842,1.567428605010848,-0.5882456060991226,2.970646398280832,2.1112873568368133
unrate,-1,16,0.8449291325245758,0.593984962406015,-0.2897291432403031,2.4621505560078165,0.32044354629578387,0.5516815197122049,1.6124223775567192,-0.7196347851908763,3.0206463875300615,2.0810291597364547
unrate,-1,17,0.9372736956828726,0.593984962406015,-0.24765947337336458,2.5959495491830267,0.3667363666848125,0.5973217209890953,1.8296735382386269,-0.7087810935289764,3.1861965253319324,2.308470398626334
unrate,-1,18,0.962621833343002,0.593984962406015,-0.2777520494573384,2.703450958061458,0.3530896541275052,0.6013310628061064,1.8074583721916766,-0.7500703576004604,3.304133002542575,2.370901922863319
unrate,-1,19,0.9679509594204566,0.593984962406015,-0.29737125030727507,2.6838317572115216,0.35637107675051244,0.6252371404528205,1.8131434636960506,-0.777204202196069,3.2773407095634055,2.38402736301705
unrate,-1,20,1.0126557650336083,0.593984962406015,-0.2678221370512909,2.8051101937757763,0.37032094474032823,0.6551395746697031,1.894406332925137,-0.7661138217525173,3.4225069240842148,2.4941336435087016
unrate,-1,21,1.0113349029080672,0.593984962406015,-0.30384607473443226,2.7690862560926353,0.36698663417465754,0.650762842816947,1.8937456710335934,-0.805241821428656,3.3707963681070403,2.490880409014313
unrate,-1,22,1.0250365234352252,0.593984962406015,-0.3167690478956886,2.8020279445855145,0.41339426931663054,0.6131811408079542,2.0082134358204153,-0.8440482010716416,3.4322610952655737,2.5246269929052763
unrate,-1,23,1.0225814559554594,0.593984962406015,-0.3623658551604283,2.894025122283181,0.41750265918852125,0.6071130248528287,2.0117712888864814,-0.9026079479747486,3.549349335143635,2.5185802526310384
unrate,-1,24,1.108846096712391,0.593984962406015,-0.3557433660191966,2.946512273078548,0.43655404740578413,0.6731600945398106,2.1469557729791884,-0.9246973558718479,3.604103963831619,2.731046867828666
pce,1,1,0.03875942966917536,0.6691729323308271,-0.38765156874359086,0.35549266630464643,0.034690081434282836,-0.010414247951910038,0.10123362122672817,-0.5330397542403781,0.4549965617357397,0.11715918513637098
pce,1,2,-0.007541230454547119,0.6691729323308271,-0.6369958077781319,0.44417670393642755,0.03720472180796602,-0.0729654139029834,0.046997770018610774,-0.851685763418041,0.585439941423075,0.022795082964881065
pce,1,3,0.026205445272168386,0.6691729323308271,-0.8330478654228887,0.6025036643234423,0.0616671543880511,-0.08341317153845211,0.12165652345658756,-1.1268765950853457,0.7861409012863778,0.07921191411814535
pce,1,4,0.06671050439957737,0.6691729323308271,-0.8295300027912035,0.666733576579298,0.06354963497930738,-0.04318191393391188,0.1672638680960779,-1.1403916955642464,0.8615213994914558,0.20164766102599527
pce,1,5,0.06992151027620691,0.6691729323308271,-0.9181629244703323,0.7518706399782975,0.07801198872786307,-0.07121933431149671,0.1809283191440918,-1.2559148714966348,0.9735855475736358,0.2113536560621709
pce,1,6,0.11948527211639101,0.6691729323308271,-0.9293495056334197,0.7950711092947426,0.10344205745859647,-0.05692832611718884,0.2700608232289464,-1.293091966559729,1.023018913831148,0.3611713907154547
pce,1,7,0.15214966990397305,0.6691729323308271,-0.8967050694168034,0.8287505935683002,0.10248848660909285,-0.03064433301020586,0.29523788290956826,-1.2624378353271086,1.0639393621760271,0.4599069567551913
pce,1,8,0.1902488600928435,0.6691729323308271,-0.9593887073149071,0.9266615107790198,0.11077608020806058,-0.008377977208423815,0.3524525605503404,-1.3595628834604003,1.181553344608743,0.5750704180079134
pce,1,9,0.22108421743568277,0.6691729323308271,-0.986468443009725,1.0633367648279635,0.1376105416679683,-0.02965847703584379,0.4193894700853579,-1.4054424264413483,1.3554811833330869,0.6682772936124047
pce,1,10,0.1407821476832568,0.6691729323308271,-1.082578299159532,1.119865544564672,0.13167330853859388,-0.11338263744203253,0.3043544534791232,-1.5024576680631947,1.4489168594393864,0.425546037315299
pce,1,11,0.163197588083018,0.6691729323308271,-1.009774699827883,1.140158178013983,0.1333767719169641,-0.08359169163180635,0.33093241027549714,-1.40979394296736,1.4725691076555585,0.49330180034184995
pce,1,12,0.20161509161353963,0.6691729323308271,-1.0081555672372262,1.1776632028440834,0.14737326995841296,-0.07430720776394789,0.39116750366693226,-1.429652304305991,1.507420783404703,0.6094274360136539
pce,1,13,0.23456630706732878,0.6691729323308271,-0.9817831044512024,1.2471229347723116,0.1597365330525355,-0.07876555894843129,0.4423081962178826,-1.409527731003876,1.586260653463176,0.7090299736353348
pce,1,14,0.23781549651834433,0.6691729323308271,-0.996453941458019,1.2533983571750786,0.1619114323859035,-0.0818538604873158,0.45926871727032464,-1.4334557828328058,1.5906528999887022,0.7188513872031772
pce,1,15,0.25970505306299013,0.6691729323308271,-0.9366160809665203,1.247075884675647,0.19535185069315045,-0.12213902101568808,0.5195591726275917,-1.372200416615097,1.5910194659415655,0.7850175467585838
pce,1,16,0.14741967330026923,0.6691729323308271,-1.0050011093402307,1.1769896916377542,0.22862766821695107,-0.29918863054653455,0.4474763024477606,-1.438155003596755,1.5497246120068464,0.44560946702126836
pce,1,17,0.15177188713435716,0.6691729323308271,-1.0585493404157091,1.1832307516752218,0.22855003051126901,-0.30982566852337096,0.4548436452371498,-1.5105700596268403,1.5578869719335398,0.4587650224743069
pce,1,18,0.18755011183824039,0.6691729323308271,-1.0407841530756494,1.150906226345725,0.21842584441894403,-0.24695262705523158,0.471062983896311,-1.4948267776762778,1.50820093567555,0.5669128380564994
pce,1,19,0.1909440620775058,0.6691729323308271,-1.079834712622149,1.1105061314078248,0.24292920597491527,-0.30088026920154987,0.47019983043607827,-1.5577674420593597,1.4704936688694359,0.5771718240070062
pce,1,20,0.10725226004429803,0.6691729323308271,-1.1783391729107004,1.1045995692140325,0.26462385682809786,-0.44105669448373447,0.42467681984292105,-1.6722436703981036,1.4928267620393212,0.32419433149753724
pce,1,21,0.019704100449966108,0.6691729323308271,-1.299204168692476,1.0645003576222738,0.27255372045251475,-0.556335611972818,0.29776669966789693,-1.8094619823663773,1.4690812122041748,0.05956012181467028
